2023-12-20 10:48:43 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:43 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:43 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:43 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:43 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:43 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:43 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:43 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:43 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:43 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:43 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:44 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:45 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:45 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:45 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:45 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-20 10:48:45 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
2023-12-21 5:15:35 - PHP Unknown:  mysqli::real_escape_string(): Passing null to parameter #1 ($string) of type string is deprecated in E:\nkutty\system\library\db\mysqli.php on line 46
2023-12-21 5:15:35 - PHP Unknown:  Automatic conversion of false to array is deprecated in E:\nkutty\catalog\controller\startup\startup.php on line 103
2023-12-21 5:15:37 - PHP Unknown:  round(): Passing null to parameter #1 ($num) of type int|float is deprecated in E:\nkutty\catalog\model\catalog\product.php on line 52
